"Shipping Filters","Shipping Filters"
"General Settings","General Settings"
"Enable Shipping Filters","Enable Shipping Filters"
"Country Settings","Country Settings"
"Country Whitelist","Country Whitelist"
"Whitelist of countries where shipments can be sent.","Whitelist of countries where shipments can be sent."
"Whitelist of regions where shipments can be sent.","Whitelist of regions where shipments can be sent."
"Auto-activated required localities. To disable auto-activation, click <a href=""%1"">here</a>.","Auto-activated required localities. To disable auto-activation, click <a href=""%1"">here</a>."
